PpvyiTGO4ij9XbYrkkDckLkLY6Y6ktBJRRluC08mTSen98e97fn4gTw-toqrFIQudxaMfhCwePaQtgDcvLDpCLZa (4,1) (4,-1)
PpDGOyiT4inrjLjAs6ctIkTsl1kddtJZ77tmmuCCmT0m9efD3CD08C+QiWXrFcCGfxyw1GDbeMLKRud3bYdXjXDb (4,1) (4,1)
N-KyW4SyHj555CHbI686kdZYQttCemmCe8ZR0888KK8008-6FHLhSa95GUiMnWtUvqyQtgeNfkyqe3DrmJqb (2,1) (4,1)
QxDyq14Wq9izrL55rvsnQI6kdBlt7BBRZtCSCKu0uv9e1mnn9wVZS+GXXQjg9ojWD2DMJgBSHWitzZzIAGOcbbGGba (4,1) (5,1)
PpLyiTWybPjv5XzbAkLskn9IQcl7kd8lCumKSS0K8e1mnff9xppwi2n+cFQQkIzrecChDtZ2Xu0WANy3cMbbaUba (4,1) (5,2)
PpvyiTGOajHPjLbY5jfsQI6Q6kJBtdmTlmn8tumKSm1m9efD9XUx0OEAPMzqFIQudhyGftQOzik1LUrpuIJozbGa (5,1) (5,2)
WhMyWaU4qrjP5bAkIccgEYQQcJtle+ZZRCewefgMmnDLffT19DTT999xB1o+KlHk9tuYMUiMnWBKBpzksPjiRmsXfvigjwCxuLvJaa (2,1) (5,1) (5,1)
U3LyWTibbX5XzHbkIQYYYI6QsBJtZTJZ7ZnemCKe90vvnn11LTT19R+ejFvDt8kQxrRIywe2arbaeND3XMLuBZypXeugDbQY5a (2,1) (5,1) (5,-1)
SNDG9OOWib5izHX5X5rIDQYI9cBluSJL8d8e1SmTCLDnLffLDv9-1vt3azyo0j5ZlIANmhKQALuP8gWQAMzfbGCIzlDaZa (3,1) (3,-1) (4,1)
U3vyWTGO4WnXTP5XbkIsY11QYc7ktBlBR7Znu80TK0eDLDDvTTTL99I+IKsNxEXhmC0NOk1WfgCW6kAGCXBGfRnxOufXvdkWGa (3,1) (4,1) (5,-2)
XpMyiUazzbPr5PPjcsIYAQQYcJJZ7l8ZRmwmEmn2evnwvfnnU919fgo+9i-RhTySuzQwzDQIywCHjWBLeYcbSUChc3X0brmOu1KWPQDa (3,1) (4,-1) (5,1)
U3LyWTab5rb6HPzIQY6kRRR7YntJZfum09RmCCm901Cf1LvTLD1T972MUDOT3brDtrQIywCdChbreZDNDNDgCNfNz2zrmhecAb (3,1) (4,1) (5,1)
TVDO94qzjjQXj7QfkIBtR9Q6J76RduCK0R8l0uKK0STDLLTDDLT9-rxNv13hRfIcoli2zNnqT2ztBxc2mZnqeTrvedfJkVmb (3,1) (4,-1) (4,-1)
WhEGOyaU4aHzbQHc6j6AcRQl7cueMt0l0JCmeggU8SuLnD919Tfg299-0G999iwk2fzej9jWbwSMHcBssXztmSrkrtcNvNW0RqCIib (3,1) (4,-1) (5,2)
U3LyWWTq5qXHbA6XIkkR7YRR7YvJl0e0K809C0901SKDnTvTD1L19V7-HdQplHvkmA6Iy2apl2vrfXB2B2HgQgBrWSYkGQTgbb (3,1) (5,1) (5,-2)
U3LyWTabIXvjQXzQYIkZvJIZYkZ1ZDd0Rlmeu8000mfLDvTD11LT9VDYc7E6noQMBbQIywmWBhaue3zakutwXo6oyNfherar0a (3,1) (4,-1) (5,-1)
V-LyW4Tq54vjH51jc69LscZQJldStde8ZJ8Ru0C8en1efnD9L9T11DppREM83qsJJO8PlIzd8S42IqLgRw7G1oaqubd2Dn5mfODb (4,1) (4,1) (5,-1)
WhEGOyaU4iPz5X5XzsAtRcUttldode+ZRle+dK0SKmvffETTTf2999911QdL771AqzCbk9jWbwSweSqJfM1wCwCdLwZWziaQbgyo0a (4,1) (5,-1) (5,-1)
V-Ly4Ta5fXj6HPPI6LY6ct79LtlBCJJuuS0umnmnDu9D9LDDT1TT19TD9XZTFan4zglPkIzXfNDqyWfNIakXabeMDm0acxCxC1yb (4,1) (4,1) (5,1)
WhUyWaU4ijHP5zIcoYQYZZ7du7JRl8enfDeoKCL0ufwf+Kv9T1f2f+9V9Z6B0OZbMPYGgViYnYlqawacyGbgiMJqehWiBlcwdemjIa (5,1) (5,1) (5,2)
V-DGOy4TajHP5959XIQJY77kddutmKRR8en1u891u1CLT9n9111LT97v3VKz+5csoGzqFcCGfhyaTMbGrskh5Yk2v0Ctibebyadb (4,1) (5,1) (5,-2)
WhwyaUGO4iPXP5bJQcEuSJdmtt8dCB08eLmeweggonDv1KLLfET199D13-nR+3gGhcyck9jQsnS2jmToA2zaCUisfa4ScuqxyGHwKa (5,1) (5,1) (5,-2)
0NEyG24W4qHUXP5HEcsAQQJ+6ZdCBuCJ2mumenLCv1C9uLnD91Lo+nwMEEE7vv-Q9WLvlJtclu7Ka3z3zWfXXQrwzLDNDMtomxCYKsuMvXLW1a (5,1) (5,1) (5,-1)
WhMyaUazbXr5bMXzcwsRQY7kleuCCRK8tLevuCDD9SegL1TvT9fg+f+Fn-+cRAwnIc7uLQiMf3jWDWm3zXDMLIfXbryWaXzTvgcPBb (5,1) (5,-1) (5,2)
V-DGOy4T4iPXPj65IQ69TJdttCR7B7R81779TCK8TunDnLnTvD1119ETD4-DvPMKeMGsFcCGfRDct05OzemMk1bxZmBrdlOaRGba (5,1) (5,2) (5,-2)
YxMyqUWybPr5XjsEIQYkAsUcdKBuuMJK8lmeSmenvU8unnLTvM1vgooo+vBxUS3VeuCMPoQQkIzredChDNvM1cC2z0kU1w6aWWzaC2noba (3,1) (3,1) (4,1) (5,1)
YxMyWqU4qrXHbA6XQsskBZBB7twltSZRduw2uCu2uUevfnvwLT11fooo+wJEnFxxRdPAmYOPlIzd8gz3dxCeC3zhsTd3AgJcCorXLYLm0a (3,1) (3,1) (4,-1) (5,-1)
23UyWWU4ijrzHzX+Hks6cBRIRZwCCleK0R8mmDCKCvff+9n21U11og2EM2UU+v9VrMxt9XqJzQWYgViYnYlWtGnsHgysqVjfcW6mOwBhamDWcUsmBb (3,1) (3,1) (5,1) (5,1)
0NwyGUGO4iX55zskQIgJYY6IZIMlRJEZJouCSmK0uvvnDT9Tvg+nEgMEwM+FxY0ynPL9tx7GeO0NOk1WArthSQIWjguraqCwKwaeeHzrehsjKa (3,1) (3,1) (4,-1) (4,-1)
ZFEyMOa5HsAUXrlJZ6QcSAEJCBdJCEgSZZtm9evvn9eDTLDoD29fooowwEx1p+nT+VJMyWosGQikddyhegCeHqcxy3jmJSHOzw5gCie3Dheb (3,1) (3,1) (5,-1) (5,-1)
ZFMyyUyb5HrjQHAQYkJBEQcBEwCB0SSB27RSKemum1evfvLDM1D+fowww+Qp6C8-howTymjxHQiMfNaVBXb0Sqd3bHjU7cvxeHTU9akIDrCa (3,1) (3,1) (5,1) (5,-1)
YxwyqUGO4qgrwz5XrckkAA6Ys7ktZB7ZdSCK0Cu+0Sevw1vU1LT9vgooEDFLwDtyhpAtfj5sFIQudRzmLMRidhjoANenzp1Sj29GmX8WDb (3,1) (3,-1) (5,1) (5,1)
YxwyqUGO4izrUzs+bY6QIQJdtwwKRuveeTnDKLK19fTnv+efwLng+9vo+VVx-MjmKTiZdkrrFIQudxywzhCqcNXmzfvWyZfq8qDryl40Oa (3,1) (4,1) (4,1) (4,1)
ZFMyyU44abzrPz5rkIcBQstdBUBEEdm8RCMCEKCEDLnTno1vDLvg+fgww+VFOD+cLCUMggr5RQiMfjvX7wRiCh6OBhJcewmufbebixBXbNDa (3,1) (3,-1) (5,1) (5,-2)
YxMy4qUarHjPzPHjcIAsUclBtJJlme0d0RtwEev+K9Svv2DD9vUT9fooE9p3XwW9nzmfPLMPlIzbSo4wyk8Ota0cercpTSWciaHYkgiuab (3,1) (4,1) (4,-1) (5,-2)
YxMyWqUarzPrz5rUjksgRQkB7QllJlem0JCm0KSnvv+DLLng+v2vowog+-NVyqvpofDSOAnSlIzdeobrymXwa2Ig5kehBRuwslfndbTqDb (3,1) (4,1) (4,-1) (5,2)
ZFUyWyU4ijrzH5jc6Ps6cZIR7AoB+d0JZdeCwS0KS0CgvLvDMD29fowww+Qxw0DBYZRKQdPQgViYnYlWsg8ik0AYk2kkktuamhBQbisve3Da (3,1) (4,1) (4,-1) (5,1)
ZFEGOyyU4iX5rI6zsc6IAE+Zlt7ZtmSZd8B0uCE+eTnDMDwvL1T9fowww+659O41Z0pJGEzak9jWbwS2WGvhuld3zJQuOGcHKwyadNH2Dx5a (3,1) (4,1) (4,1) (5,1)
ZFUyWyU4izorzE5XzcQYAJ7B+AwtmCd078tmKKuLm18eDfDvD2D+fowww+Qt79+c3HhfYuIYhViYnYlWdIiLCMCtbXe1XuRumeTmdtteaGba (3,1) (4,1) (5,-1) (5,2)
1VMyOUazbXrbIXXkttBQMZQQZlBRS+707CuuC0KK0eTv11L99TUTUowUEMMEN7pw57UIO+QIOKLPkIzX9c8wyM5i4SIaQIikYIWOQmeTHgAQud0a (3,1) (4,1) (5,2) (5,-2)
ZFMyyUazbXr5zMXPAE2scR6AUlCCUZ7ReSen1uCLSDD+8nnf2LnUfgwow+E31vRYxRcmTI6mMQiMf3dNDGYk4SrIjikuzxyQAbALtLDR4WLa (3,1) (4,-1) (4,-1) (5,-1)
0NMyGUabIwrQXH6c7bYkJERcuuuulK7ZKU8RmSeLe9KEvT1fMUno+vEMwE+1DZvxxt7cJ1fNtbQIywmWDqeqmZWMD2DmDHzreZz1f2CGanebkb (3,1) (4,-1) (5,1) (5,-1)
0NMyWGU4qrjPb6PccIcJJAZYtCJEKwuC8dS0mL0KTf9LEvDLULM+ngwoEEE7+xTsU+SiDOhWiB6Iy2aVrULu6kAx6Ob3cNcxvIHunqyPibb3Db (3,1) (5,1) (5,1) (5,-2)
1VMyWOU4qrXHbAIsclBJRs76tSwJRM07eenum8SEvnTU9foETDEUw+LMMEU+7ZvXtFt1hMxXaYOPlIzd8gzNdhretgaHbduraWTUnZb2DlCqcXra (3,1) (5,1) (5,1) (5,-1)
ZFMyyUyz+XrrQPsltkA76A2k0ZB+dCEJ80dnnSCCwTuD9011DMTnwgwwo+l9n+UwK-fUoHKMIQiMfpCUfSzLqscbZiYuK2n1DcPmeNjXmqZa (3,1) (5,1) (5,-2) (5,-2)
1VEGOyOU4izXPU5X5PEc7A6YsRUE0lm807teevD90K1nfoggEL19DwMEUUM+76Rdx6FiyHDHfBrrFcCGfxyOvSbNfMfaCMfgaqeMfeyXDmJOl3Db (3,1) (5,1) (5,1) (5,1)
0NMyWGU4qzjP5bAIMYYYAss6QIwlJZR7ZdKMwCK0K0enfD9f+v2vEMoEME+3hrJzBhzQS9nrjN6Iy2ajrUfXH2DOCrAncdIQYQXoqXYsl1e0Ta (3,1) (5,1) (5,1) (5,2)
1VEOUOOUobHzPjAs6kIkdZQY7dSlmCKuennnn8SwvDLDT1T+v219nUEwMUM+Bp6SDVYrtTPlqXK6kIAYjGQgiW0Gqvag0ObaagidZaCJb2ejimKa (3,1) (5,-1) (5,-1) (5,-1)
ZFMyyUyzgXrcQPQz+sBJYYQAlRJtm0JZZtCEUK0CL1evT91vwwgooEoEg+-nPlON+xBhKSm0HQiMfNa3bH1WbXfrRQ5OlPaXfXSmA2DhH2Pa (3,1) (5,-1) (5,2) (5,2)
ZFMyyUyg5zkAUXjdBwRZtmd7ZkC0KBJJmCoeuvS08888LTv1LD2fEowww+A-JE78t8BGAWo0GQiMfdChegCXbMXqBIanLOequlmWd3lKDrCa (3,1) (5,-1) (5,2) (5,-2)
ZFMyWyU4qrXHP5rAIcYIIA6kBBUtCw8lSK0KSum98KDUD9Dg+L1DogEwwEFFwTCEZiS5cRIJMUiMnWBKzafb8gnQG0mX1IcGjhvbTqenIeOa (4,1) (4,1) (4,1) (4,1)
1VEGOyOUajHPzQ+PE6rIkBQsmtBCBSUZR0Kmmv8KS+uvvDnTMT29ngwEMEM+QtE5+v1+gahCFGzqFcCGfhyGuXc1kVkhteIaiZnvqHbM1Mete2Ya (4,1) (4,1) (5,-1) (5,-1)
0NEyG24W4qPbcsQbkIUsIsZIgRZdulSJMK8ReC8KUenT19DLfow+LMEEEw+9QpYfTVytvXvwdu7Ka3z3zq5mKa1KnufwlhBi0YbJfe6oawcgWa (4,1) (4,1) (4,1) (5,1)
0NEGUOGMobrHzb6rkcQIAZcelCJ+R0B07Cu0e8mv9eL+LwL2f2n2v+fEEE+EBVfZ9TzQbgLsSLUIOMmIa08ojJssSgR0AuyubZjOdTfWfxkrCa (4,1) (4,1) (4,-1) (5,1)
0NwyGUGO4iPXPj6HgkkIMYYYk7IBZt8JM+uKoLSS900TDvL+fowUD+nowE+3Q+Ew8HIbDSBJuu0NOk1WfmYgB2LQyaCW7OHWshRwiIfrKWudcb (4,1) (4,1) (5,-1) (5,2)
ZFMyyUa5abzwPH5zocksAsIIYA+AMBlue8KmCEEvnvTf1f9LLTTf2nwow+6BBB2dmWOkx3jxRQiMfp5IDofhuNPQCYdMAgBtixctCp5McaRa (4,1) (4,1) (4,-1) (5,-2)
1VEGOyOUOgjzHPHPgskcQYQsJZ7JBSlK87Rm8CeLTEvnL9fUToEwgUUMEEM+9nh3ZOxf2qXCiU5qFcCGfhyaCxySbWfaaWsNbSsOAMlLbQL0flKa (4,1) (4,-1) (5,1) (5,-1)
ZFMyWyEUyorjrPbc6XIclJI7sZQllJJmSmeTCEuf988KDvTDUL9DgoEwwE3SxV1Bq42yvwG2WViMnWtqyeRwCxevJa5wz2DgCiBteXDRAjGa (4,1) (4,-1) (5,2) (5,2)
0NEGOyGU4aHzbQHIgRZRkKEeJMMBCZe9mvfKDTL0Le9008vvngw2DoMMwE+3M73o1K-ylGOKrK0NahyXAgkmTM5OjtHKbrewCnSGHqi0KWcsSa (4,1) (4,-1) (5,1) (5,2)
1VMyOUyPgXrbQHkQoklt7cRYcuR7BRBSUmueenL0S+uLnnTMTT2f+nwEMEM+QU8l36YAUwP5qgTOkIzXlWDaZs7gGqeQRwLMQ2DhRatomhRqCxZa (4,1) (5,1) (5,1) (5,2)
23MyWUabszQXPclds7ABQZImlZKRm1+lCuuDDu1U02ev9n912og+DwMwMU2U+E16NFBEvlcZwXjvGQiMfd8waaeti2A3luiaKUf3bripBrzHc1vX1a (4,1) (5,1) (5,1) (5,1)
1VMyOUaz5XrbIrIIcl6k7QQEtdl7RwuS+S0SMSL019f19TUMDf+nwUDMMME+1A-xRMssBMQpsMrPkIzXDWzhm2DrbKaRQIHMDQ1uBwsRcGDjaXXa (4,1) (5,1) (5,1) (5,-2)
1VEyO24W4qrXHP5Xj6Akdd8QUgKtmSZ7eS2C0T811LfovTowMTUTTEgMMME+TF9Ets7q+rIbN4qTtcCNDNbGJsChBqdJzM1aZQP2za4UDfjxcXzb (4,1) (5,-1) (5,-1) (5,2)
1VMyOUyb5HPwbQXzIsQ+QY6IktBlJ777RZtmKueTmfv9TT2ToUog+DwwUMME-E8i2OP6I1NotULOkIzXlWBh4mTcrsureODNDxCidbBasreOJSDb (4,1) (5,-1) (5,-1) (5,-2)
0NMyGUazHgPbYHMPHEQAIsYIUAtBm07ZmvvC9LegTD9KMULTnooM19vgEEE73-BKfTYaM0J1XAQIywCpC2bQfWboKuCQIqmN5GkibnC3jLAt0a (4,1) (5,1) (5,2) (5,-2)
ZFwyyUGOqjz5XHX5rAAwlRIdBEllSSZ8KKeT8n1vL1efDwD+1DgowwgoE+R+-hHTo4rzKb9Kc9jQsnCHBwaQJMDhlkAwaicO1MiWbOiwyHeb (4,1) (5,2) (5,2) (5,2)
0NwyGUGOqjb6XP5XjkI6kZYJwdCKMBCKU0JMm0m0SenvT19LLg+91nMwEEE9TvxH39v4YqrEdk0NOk1WfMnIztvruwJWkxWmY2fbewCrtoBaGa (4,1) (5,-1) (5,2) (5,2)
ZFMyyUabszQXPclJ7QB+l0ZAEEmlJBZu0JeSCEwCM0KDTLDv1TTf+nwow+6JFHFV85wzrPjnGQiMfX5waueT4k0GiuRwbo0oLGHizQD3AHCb (4,1) (5,2) (5,2) (5,-2)
23MyWUib5jIPrQY65IctBAJBRRRZlJtJZBuK8e18e12MD1U9f21+fw2EM2UUEx5hVhoA4w3z1kTuWQiMfHabauetmmaif3DwtYAn1GHSWudgYcBsSa (5,1) (5,1) (5,-1) (5,2)
23EGOyWUqjzX5PbAIIIQYAAdtBCZMmuLm0S0S0wnTTnf121o+1gEwooM2EUUEFRJ931BOfGXOByXc9jWbweGDxyheNDqC3bbCqahy3aaRGyvaOAlab (5,1) (5,1) (5,-1) (5,-2)
3-MyW4Ua5ijzH5Pj65wAIAI626+6otZdSl8l8tCCS08u9oDT9Ung+vEMUUU22Ex1JsNgn-ejxUVWIA7Iy2aHBeqHBY5iefyYXQHkBOSMeMcsCgawyaKa (5,1) (5,1) (5,-1) (5,-1)
ZFEGOyyU4ygzMz5b6z6HQYIQAclJBdKlCgSCu8CUmf1vTvTTD+Dg2nwww+65VHCnAHL4hltHl9jWbwSg1gaWdMzaBjCYAQSiSUCVIQzxcrna (4,1) (5,2) (5,-2) (5,-2)
23MyWUyb5HrcYUzIYwcAYYIYk7AZwRJ7Z+7du00enL1ofDDT1g29nwEMUEMU+vTn-JiK2Q1owVnoHQiMfhCUDWDauaaaawCbehBgtUnSQmu3dwamKa (5,1) (5,1) (5,1) (5,-2)
