F-tg-cAHCk4N5+tA9lRxQ9BV-T+Z7EV-Qt-2QQzzQIywCVaVfMel4UfqDgaGba (5,1)
IxuyqSGO4iPXrKPXr0bsmsCQkdtlBBtu8J7d8lmm8U-qfMA2pO0NOk1WAh0S9OzOAHeXIciGba (3,1) (4,-1)
LVCGOyOSqjb6PPSmsIAskA6Q0sJRmRZRSlSe8tCmKKK8wpElTm-Wdk0NahyXfMntCWzmq2fW7qZ2frCa (5,1) (5,-1)
LVKyOSazP0PXPSPXHHbkQQKcR8QuRSBBZ77dmuCKuKK81LNo2jI6FwQIywChCkRkd35YbSjXrsaqeRqb (2,1) (3,1) (4,1)
LVuyOSGO4aPCbYPzI6QeRQQKtt7klR8Zl0teSuSmCKKC-t25NSyQjK0NOk1WAOqTbQyw0UmTjxatBxKa (2,1) (4,1) (4,1)
LVKyWOSyHPPmPzHXXPeQmQCQI6Y6ktRmSlmeS8tCKKK8Q-cjoZC+8d6Iy2apz3fbrYcKBWkacq1maGba (2,1) (2,1) (5,1)
KNKyGSabIrjkISXXQIktJeRIImtZJuJleK077JuCCC86V8JEJHFwGQiMfd82jqyqDMDqZcOMjgerna (2,1) (2,1) (4,1)
M3CGOyWS4aHXC5PXSAYscltRY8AZ07BBleu8Z0CmKSSS8A-45zovuMrsFcCGfRzOWk6QzNKMbRCrS2DrCa (2,1) (3,1) (5,-1)
M3CyW04W4qXmrzHX8bAIYQIIktldJJZ7ZSC0KK0CCKS08-3iAmpud5zTtcCNDNbHJaaGbgya00cuqKlfQa (3,1) (3,1) (4,-1)
OhLyaTazbXj6bLb1zYskdRsR7dd87ZlStSBeneeDS8e18e9t+xVvyJfVXyQIywCpC2fQbxC2y2f2rPDqqZvrIa (3,1) (4,1) (5,1)
OhvyaTGOqjb6b1z6PktBlZcLRdfleDB77B8ZmuuSKeTe98C-x2RC8kwudk0NOk1WfM1MIaebkpzdfryxlQtieb (3,1) (4,-1) (5,-1)
N-CGOy4S4i5XXzs6ms7c7uB7dC7sl0Z78K8eeuKCS0S8089VD8kUrpibf9jWbwCbAWbNPUB3DrsvtKlgCGRa (3,1) (4,-1) (4,-1)
OhLyaTazbXj6HXbT6sslJRZcenellmueLSC8t08Ce1e1e98F7z72bJvLrzQIywCVa3fMexCoAHD3DOzV4myM1a (3,1) (4,1) (5,-1)
PpLyWiTa5ijzH5Xr6HkDYkLlD7BduJlmTluCSSS0mLm98ef9+C2BDJrLbJQTlIzdeUrGdejjsgfvuuaj52DuqjQa (3,1) (5,1) (5,-1)
PpDGOyiT4iPXPHrk9bkLAsQIcZBtlu8d0Rmfm100SeT8enn9N3Jx1aw1lNGsFcCGfRDcRafxQgBO7ayqQmyaQsnb (4,1) (4,-1) (5,1)
OhDGOyaTajHPzbf1XXbkcLk7YIRdfefKtCSKK0mKev800889BzEmnds6Bg0NahyXbgiGlPPKlhWaDxaa4aAhyb (4,1) (4,1) (5,-2)
OhvyaTGO4aHbD5Pb9sAAAtZsZIdnd9dmefu8dLuSC08S0881U2w89SaLzK0NOk1WAgkSy0WSiSjhdklrbuylCb (4,1) (5,1) (5,2)
QxLyqTabszQXPk6ctvJAZBBZYsv977tt1RBu1SS08CuT0ennD9-qMV-4u1jvGQiMfd8webeXHSzqz3DmkbyWf2DxKa (5,1) (5,1) (5,-2)
QxLyqTyrfXHHXrHPPrfkQsLc7sJtvKB0Jme8R0Ku9evnnn9e9BD9ZGd1Iu93IQiMfVapjxra4MaQD2eHbRcGcryaYa (5,1) (5,-1) (5,2)
U3DyW14W4qPXzQbkBARl8d0vdtlZvZ11RBC08eTKC1nLTTT1vvDL9FDvvL--Oyqgdu7Ka3z3zW1qCSHgyeZwJQ0wefdbC3Xkdb (3,1) (5,1) (5,-1) (5,2)
V-D49GOWj65LP5Yclt7QIYZsZZ7fRlSR7918eTK8TKuDLTnv9111T99Q87rSF7g0GBeOlIAne3bHbxCgnlYQ1iGYzwlcBaajbgab (3,1) (5,-1) (5,-1) (5,-1)
U3DWW94irrzHX19bYrIII6c7AZvd01ZDuK0DKme9m10u1mfDvLTTD92BRJhJKItw748GyJzNvebXB3DgKMJmlnyw4MbwKqlxKa (3,1) (5,-1) (5,-1) (5,-2)
U3DGOyWT4ajHzXHHAsBAZY1TleKdKtCBZZ0n0nL8S8e1fv1vDLTTDT-xlY3zSoiqtL0NahyXAYLInciG0WLWBgapewzfbIBxKa (4,1) (4,1) (4,-1) (5,-1)
TVLyWOTTO9abrHjQYs6YsIsJQs7lSR0KSveTTu9CL9CnDnTvvTL9-BTEEbqt3raP2ViMnWBKtueXbGdmYufoeqCqbabZI0Oa (4,1) (4,1) (4,1) (4,1)
TVLy4OTajHPzbIPrcIYAA7cRTJtlKRvmSTnfD08unfTTfnDLvLL91F-jltlJmYfvXUiMfqyaaZk3mMzUcUCqAgWQAvZmaSba (4,1) (4,1) (4,-1) (4,-1)
U3DW9OOWibrjrXPXfkYDAQZtBZDZvtBlKSu090uCmTSevfLD1TLT9o3TNs9FaKH5i78IO2jZbXcxCGJMjc1IAa4GjtCaBInblb (4,1) (4,1) (4,1) (5,1)
V-DW49ir5azzrrPXjIY6Itm8LBRe18DKm8lfu99T8C90C9LTv9L11DV+9UFhzGWIGX11dInMDNde50toTSbTsbvObbeHDWQaKQDb (4,1) (4,1) (5,1) (5,1)
U3LyWT4a5arPX9bY9cJYQ6dmKZDZD7SJ0dnmeSSmv90u9eD11LTTD97Z3l4RoWGgoUQIywKsk2XQzrCxCZDjCquoA2ztsccWDb (4,1) (4,1) (4,-1) (5,1)
SNvyGTGO4aHzbITz6Iv6kJILTJdltlKRde8JDmSKKf1m9ufDvD921S6RDWDdshrsFIQudRzOW0HM5gOSAfkZdSvXzrOakb (4,1) (4,1) (4,1) (5,2)
TVLyOTazPfPrXH5PPvkAsYQT6QvdtJt0dSKCu0u8K008mTvDTLLDBVwVAcQXLZZ0MQiMf3lWDaBgmgeiCjCayHzwex5meq0a (4,1) (4,1) (5,2) (5,2)
U3Ly4WTqPjXzHjsQbAYsQIZZ19dSBRJRl0JS0C8SS00T1LL1TT1L9-HxQAVNcYyNnj6IywapyNf2P2ztCqaeZwJqawCgG2zwaa (4,1) (4,1) (5,-1) (5,-2)
TVLyWOT4qrjPPYsckktBRcR9QneCBt7RRDKm80Suf1mTDTnTLDL9EFZw4FdT6raYMUiMnWBKBh6ocbKoASqrlWXUAadbKaeb (4,1) (4,1) (5,-2) (5,-2)
V-Dy414W49iz5LrAsIQsk6YclddtBlBR79t8vC08mvDfnTLD991T19+6jfoo8CTwlIrVtcCNDN5idlanzHf2zNkxWm5OrNA2kWfb (4,1) (4,-1) (5,1) (5,-1)
U3DGOyWT4i5z65kcsYclJRZIJBtuBZ19Z11LKmS80LSe9uvLDTLT9Ugp98VZOHVyaO0NahyXAvurtRaNDWDiqODazb0slruxlb (4,1) (5,1) (5,2) (5,2)
WhMyaUaXqbjjPH5PbQIktJcRclmm07d+ZdggeuCeU0mfvfELfMT199D92sjV+pGVIeL56QiMffeckHmjfHDHGmeNJeHKCXzmzbkaOa (4,1) (5,1) (5,1) (5,-1)
WhEGOyaU4abEbYPzIcEId7ZZdm0lttCKdgMeem8880SennDfMfU199DTMZ3vxVTckMQbj9jWbwSMPuBGBpygy3DrSIbYDNu2jVvbWa (4,1) (5,1) (5,1) (5,2)
XpMyiUazjgPrHXXHPjoA6QQYYcBdtRB7temS0Km10Cnno2n2TTf+9ng+7UZIQPOC0hdEDxQIywCNaVyfmPdXDkCXB3dndGBgiQzXCLmb (4,1) (5,-1) (5,-1) (5,-2)
XpwyiUGO4i5XjoYzscIkMIkog7At7RB0ue8SungvTKT0mTnUDDL19fgE9D3pJffkzV5Lbu0NOk1WfGXWb3CpfbKWb3fxvhCxBQftdWDb (4,1) (5,-1) (5,-2) (5,-2)
TVDO94qzjPn5PT5PrA6ctRQIlR7d0tRJBCeeKST0KnvDvnDTTTL9-tLCZvvTIy1kpli2zNDdCZfYzGfHjrerfrl0DqOo6Ieb (4,1) (5,-2) (5,-2) (5,-2)
U3vyWTGOqjb6X15X1vYvY6YfleCRCu0K0me87d9K0nv1CLfnTTTL9DTE9VOb68fudk0NOk1WfM1QzpIMDMPWb1zragCVfqeXbb (4,1) (5,1) (5,-2) (5,-2)
V-DGOy4T4aHzbQXzscIQAI69s76TB7d0Bm8R08TSe9enn9D9LT911D703MwPkUZOZgssFcCGfR5OqRbZ9QKGfranCTD2jrdmBteb (4,1) (5,1) (5,-1) (5,-2)
U3vyWTGO4iX1LHPbYnYvs7Ql8cKC8BdKZmm87eeDffL1SvD1D1LT9F3H7+IdLuGlCS0NOk1WAhtofMbXbulRSWqrebao02kuBb (4,1) (5,-1) (5,2) (5,-2)
XpEGOyiUqjo5XPbYrkEIkU6cltBl27JlC000um9mMSKnwvDnDT191fgERVlpEKQwNmNHdo0NahyXfM1KcpAMzIcrz1DhfJR2SskgCjeb (5,1) (5,1) (5,-1) (5,-1)
V-DGOy4T4iPXP5n695TAAYI69YcRJBl8R7JS8DS8TKmvDnnLTTT11Dxx-dAlPy1UvgrrFcCGfxWat2HUIg0WzhYsebeQz3breNDb (5,1) (5,1) (5,-2) (5,-2)
TVvyOTGO4iPXPHr6PsslR16QdSDKKRS9Sn8evenTvLKm1CnTLDL9U-D9yzuViKCck9jQsnS2jSA1IMrMya4GmMYuyhiQ12mb (4,1) (5,2) (5,2) (5,-2)
1VMyWOU4qrjPPMXXXPgsQMYQQgtZtREBR27lK0SCf91LvnnwE9f2D+LwwMM+BF9INaH6pkzsT1SPlIzd8g5wvxvSKw5gDWD2eMcZz1CXYYctaN8a (5,1) (5,-1) (5,2) (5,2)
WhMyaUyb5HrbcUbEI6cRJ6YkudMZdM88BeDumDufoT0CLTTTfw191996R9UDPUSrymBwIQiMfVaVDatNcqR2zxDjzpLi8cmbehCHSa (5,1) (5,1) (5,-1) (5,-2)
U3LyWTazbXr5HrYPYcJRYTZltZDR0K7d190CKuDLm1Tm1Lf1TTTL9D-vFEG7YejotzQIywCVa3b0zgynzXf2HUTgbqe2jWC3Xa (5,1) (5,2) (5,2) (5,-2)
U3DWTOW1nbHzb65zsIAk6clRYsBJZnZDJZ7l0KCen90u1LLL1DTTDFxvdMY3CT8jmLUIOMmcqNlUtfeUkkyaaxbc8oaWQGbm0a (5,1) (5,-2) (5,-2) (5,-2)
