HpKyiSazbXrXPPjKXjmsQYIkelCdBZB7dSde8773QEWzy9ltveZI7f4DxcZrZkBThCGHgma (4,1)
IxCGOyqS4qerKz5bQctBdRQIJZlZRtemmmS77du8FFZzJaMcx6tGdSynQnWcaaBP5vGoWavka (5,1)
LVuyOSGO4ajjzPjQuQkA6Q0A7dme8RZJR0Ru0lmCKKC9-+qHZOc1s6tuLAynjn1atUqr4Gdotnuw1Ie (3,1) (5,1)
M3CWKOGbHrjQXbYcQ6YKYcld76YKBtSZuCmmKmS0KKS832d2LNBntgufrz4f0oiutevaveOmqmfgbARgg (4,1) (4,-1)
LVS0O0WO8qHjzP5XjckcYQI66YYkBJJRRRSemuCKKK8QtNgVg5fVO9cSZoiaaolGdsty4MHkcMiI4Ud (2,1) (5,1)
N-CGOy4S4i5XbYzs6KcYQ6ScBtRZdm8J78Zt8CKS000S8vT-knv6NmGI+e4alUamlo4SdIioQnZSJT7Uiol (4,1) (5,1)
LVuyOSGOqjzX5Hj65rAIQCIQ0ctRtJBJZZduSCCKKS8DrVfX+EOkf6tuLAia0UOixQhgkvgG7IQyvbc (3,1) (4,-1)
PpDGOyiT4iPXPjn9XQAIIslB7cJJdmu8BmLSuum08e9enf9N-fvLTntrJOOpboWIlyGTdHyIdv4A4IlcJgBLJOj (5,1) (5,1)
M3KyWWSq5qXHbAIktYCYC7sd7QZKJllBRZuemCKSCSS8vhZF+5zaz00fXSbEwSZHJi7qarHUfH3c7Iifk (4,1) (5,2)
OhLyaT4qjbjHbsYHcDk6cZQYcfdBJZd9dme8dLKS0K8888w3jD0UnDfXJvrmlMJHgobjbcNGgrqyWoyc7UlId (5,1) (5,-1)
N-CGOy4S4iPXPbc7IQ6mZ68ZtlduZ7JZRl88eCuKS0008Q-t3J8hbKbL+e4alw7GwvZrbnBeiEYn7wraama (5,1) (5,-2)
KN0yG8ir5azzrrP5XzsAIsIK0ctBJBBZ7leuCCuKK8FItJkFHLTRne1o7oeqYz0L3nzKhL1QGCLQb (2,1) (4,1)
OhDGOyaT4ajjzPbskYIsRI6QllCdKRdfD8JuCS0SS8e9e9V6+nPCQqcZs6tGdSynjrXqfjPv1KtzuoWUJn7kj (3,1) (4,1)
M3KyWWSq5qXHb6zIQAskZ0SAZleuZ00l8RdCeKuSKKS8TD-h4b-az00fXSbEwSZv4mJierrsHerGkgGgl (4,1) (5,-2)
M3uyWSGO4izX5PjA65jIIAclt7slZ0Zme08ZuCKSKKS8v7zPoXZdROOprvQHlmuSXGrfeoAU5wigYUGCg (4,1) (4,1)
N-Ky4SazbXj65KX5CYsk7Qsdumeeu0RJ7R8tCSC88S00C-V+JaxP4nMsveZI7GZmioOI4glP7Oue4cZsrUg (4,1) (5,-1)
M3KyWWSq5qHjHHPXXmsAQY08cZuBl7J7J7temCmKSSS8AhFACAJX410fXSbEwu7O6nbP6adE4T0maI4Ud (3,1) (5,-1)
M3uyWSGOWejzHPHXe6jcQIk7YItZRle0R77BKCKS00S8B9MP4Hmf3COprvQHdmWUinKoKCtmLglTvnwci (5,1) (5,2)
OhDya14W4qPbAQXbcDcf9YcTAdlldZRRd077tCKCK088885PlnF5lnJbQDsG7S7miA4Uws7SMbqS6EeqlHZzj (3,1) (5,2)
HpuyiSGO4aHHz55P5bkk0k86YY6kBJRZd8d8lm8FHC+bPVIK+evPgwZOumgOxu3jKTcGwAe (2,1) (2,1)
QxDqTOWaPzHzHrIcAksc7QQlZlRtvmunu07JmuuL08ufnnn9616EEj6PKStKve1KzaLQ1CiqNg6SdnasuvicMiigk (3,1) (4,-1) (5,-2)
SNLyGTazbXr5HXrcJnBI7Y7seuBJBKL8J9ZSmS00CmLfvvvDDD39C+RlwUbuMYufXS4EbUdmunhPOI7Sgb7Uer7SOL3Sl (3,1) (5,1) (5,1)
QxDGOyqT4ir15j6H5rcsvsIY66klRRlueSunuDe90m18efn931hob8O26BaL+e4alwBOyvkQAirvqEem1yfIeMzMi (3,1) (4,1) (4,-1)
QxDqTOWWPzHzHzIQcYAtlJRQcRtJJmu9dS0SS0Cu9mvvffn9387wv4hIv2dKve1K5mLQ1aGnzQWa4qOzrDdbXGisg (3,1) (4,-1) (5,2)
TVDWO94irbzzXjsccRsY6RDJBRl0JeSnuC8JKS8008efTvDTLL9T0FDNEhstYqINheBm7SNS2n5iRoyvNrjfLHbjLzgGaol (3,1) (5,2) (5,2)
RFvyyTGO4aHzbQHc6QcBBvlRQB9ltCK0ZC9lu8CL80S0envvD9F+XOMpQs0qs6tuLAynhf6K4CNmvS0GNu2TIu5slag (3,1) (5,1) (5,-1)
RFLyyTyb5rrQbIQbI6IsB7YA1BvB9BTZl8emS0S80en18uvv9U+Fqz3P44tQevrmlEbElyRM6edAfqZv2ILosuiw3Ud (3,1) (4,-1) (5,1)
RFDyy14W4qPbQbYQA1IkJssJA1cBZZZdC8BCmeD9e9mD9evvD-h0JCX31nHbQDsG7S7mOGKmZGlIZAZUZidwfrKCcTj (3,1) (5,1) (5,-2)
RFDWy94irzvzHz9bYrIIIkddJRBD7BvmeS0eCeDKmTm9unfv97UhDnCsWzk+CEqSXSZk3HiS7o4SZcHc7oRagfGIGTl (3,1) (5,-1) (5,-2)
SNLyGTaz5XrjILHDA6IDJ6Y6culutKLRRJCCeeffL808m9uDDD9+42UnEqhC5WufXS4E4ClC3sYS4iRS0UjOiIdgHAcaj (3,1) (5,-1) (5,-1)
SNLyWGLTGnrjrPbkcAQsY6Y7dmlmmCJRBSJ1JKKK10mfnnvDDDVCCV7wzOKd0g+fXSbEccJGgS4D4UxOac6yiIdLRgsag (4,1) (4,-1) (5,1)
TVLyOT4ybPr555HPbskQLAIQ1cBtJdS9ZRKmK0CCeTvnfnDvLLD3zDNRirPTLD1sveZIWe4fkG3A7y4QZL2SdMgouTkPebi (3,1) (5,2) (5,-2)
RFDy1OOi5irzLXzf6jIQAYQ6Y6AZ7JlmeS0mKC8CnvvvfDfn9VoxohOA5KlzoEruYKdw1GlsdeQGePaCMPaOGeimqMg (3,1) (5,-1) (5,2)
WhEWa+4irbbEzbgQbc6rIsQc7IdRJdge+dmuCmmC80uDnLvT1L99992UmO3NPHIw6vMNheBm7SNS1oAoRrOmiSLaiA0iawGmRcfkj (4,1) (5,1) (5,1)
RFDGOyyT4izXzT5zLQQZRkJ7kCBD7JBC0ZZKuu88CTe1envvDp-26BQRGgqhu6tGdSyTjULc7cyyReNDNCiEhSkq7Tl (4,1) (4,1) (4,1)
RFTyWyT4iznrzD5zIcctIRtB7YB1ldm8l87lCL80SKenvnnv9vpQ+2UdLmiLpErKBKxGhmxsZcJQJA1s3rNa4mla7al (4,1) (4,1) (5,-2)
SNvyGTGO4aHzbQHclsBAdR6ltmBtBm0leeKL18KKLfnv9mnDDDV1934L0QHiLiPprvQH1mtzdTanqE2wkDqbGkOqjsdTl (4,1) (5,-1) (5,-1)
SNLyWGTq5qjHHDXH9XbAIQc7cRJBJ17BKeKnS80uvvf9e9mDDD-tBvPzPMGt900fXSbEwSJHfnAe6IioITBCXqiosoOTe (4,1) (5,1) (5,-2)
TVLyOTyb5HX5rXPjAscBYQ6AZdRJJRZZl0STevfDTn9STnnLLL9+VAb6UrZHM8lrveZIxGhCla6SBsiUlzXSYn3gqaerama (4,1) (5,-1) (5,2)
U3DyW14W4qrX5HA6XrAQYss7YDZnRZDZn8JmKK9mDvfnvDTnTTL9V-bmo06fB9cgQDsG7S7mamZUyyGq5PYodj5IMw1nATGPe (4,1) (5,2) (5,2)
SNLyGTyb5HrjITzIYclJTAIABllRRlCuKenLuDCS8K9CLnnvD93FRWSH9UIO5sufXS4f4DlyQidKyDMIfk0U7UcIlcYTf (4,1) (4,1) (5,1)
RFvyyTGO4ynrzL5jcAD1A6AcZktdBJBRRR7du80KSenv9mnv9REWO3lC9bdoo6tuLA4cZkknykJj0CNsQoecwvaS2aj (4,1) (4,1) (5,2)
SNLyGTarbjjHH1PIAAktt7I16lddCRZlSlSeKe90mTKnvDLDD9130u9UhovdKlwfXSOmbLOrXSZEOGgHYM5QRDik2o7kh (4,1) (5,1) (5,2)
U3LyWTabIrrQXH6YIcSY6Y1LB8ZJR07J08880vev0n1mnvDLDTTDRB3FRBFkaJZPavrmlgiUdcXGBaKO4jkAHkMzas7UtSWcf (5,1) (5,1) (5,1)
SNDG94qzjrjXXHPXbIsYYYI9IftltlJLRJvmC08SSmf98unDDD71kdw5p5Ms94zbXo7SlfNO1LtA6GtkNK4DearI6aqbe (4,1) (5,-1) (5,-2)
U3LyWTyPHbHrbQrAYktQYdletCBuSe8Zd1Ku0L0TmvnDv1D1LTTDF-FHRvBOuOs6dvrmloZGZTiCfAWG4meylGzC5egkhPhUl (3,1) (4,1) (5,-1)
RFDyTOyDnbHzPjIkQAnt7cR6leeu0ZBuSZ00C9mCefnvf9uv9BxFz3mFfimMsxrutgbOvozfvu2U4o3bBrYGjaaaGna (4,1) (5,-2) (5,-2)
SNDyG14WG9izHL55bkckIAYYc7AJZ7JJdCKKv0KLK88ennvDDD98XLUO8yAoXO3jbUZUZC0yJigjJPkIIekcGrdefojUg (4,1) (4,1) (4,-1)
RFvyyTGOajHPHjsAIQAAflZ6AflJl8tC8Zme1KSKSmDvnfvD9p-oBOlrLNumd6tuLA4adS4cdm7ALT1qdKdTemaaeTf (4,1) (4,1) (5,-1)
V-Ly4Tyb5XrX5PHcc7YIQZB7vtC8L8ZefmSuTuKKC9mfv99DT1119+RV5mRoLKvORsufXS4f4URaJG4L4qWwZEBT5yBTeGzwNOe (5,1) (5,2) (5,2)
RFLyWyTq5qjH5znscALYk7dJJdmCKK7R8ZmCf88eLm10CfvvD-wV73fGmjXmnDrmBGNf7CtiiiLgdGbalUiaiS6PHTj (4,1) (4,-1) (5,2)
TVLyOTazbXrH55HXbssAIQcl7sRRRB7RneCKSKCS908mTvDTLLDF4RPY6I1mQRRsveZI7e4fRGjogs0UkG4qRAimcD5IZIe (4,1) (5,1) (5,-1)
U3LyWTyb6rzQXksAJBsY17sdm0fmuSZ000t8ZvSSK80fnvDLTLT9QU5-9pHXvdjnevrmlEZClyOSRiecLDKQioxsBe7G7ciGg (5,1) (5,1) (5,-1)
V-Ly4TWirbHrX5PXj6rkIYk7cJRBt7ZRR7lu08T8ef989vD9LT11DTZRdjFUwIg7s1wfXS4GtGdrsaLTkjebqydoqvRqxGXrgUl (5,1) (5,-1) (5,2)
TVLyOTyb6HsQTXQjsBdRZ7YBumRKZ00SKuSL8S9Ke9CenvTDLLD7F17D1gufRdJqveZIZm7G7k7U4elI6uioJDMz1Eye2Uj (5,1) (5,1) (5,-2)
U3LyWTyb5rjQzkc6zsAdll7dStKlCR00C8uCC1v9mLnvTn11L1T9V-JNChoP2dYOevrmlEXSdyMyfcxEZsRDOjInAzLTxc7Ig (4,1) (5,2) (5,-2)
WhEya24W4qXrQYcctdJ66cmmmKtJKRSZmfegMC8un10mfEvLf29999PRV-On+gMPziGANe4o7oZU7IxTROdItTtH0AiLdm7yYErHc (5,1) (5,1) (5,2)
V-LyW4T4qrjH5jslIY66nZd8ZluKKZ7Cum1eKe9Lu9ennD9L9T11D9F8NRh84EeaY00fXSbEJSZDgn4cam7oIcwnRUfwNL5klUl (5,1) (5,-2) (5,-2)
U3DGOyWT4iPXP5bkY9XnAYQsRdJtdm8Z1Z9due1Suvv9CDnnLTTDVEh1RmlYOUZik6tGdS4cgyailPaeZc1wAr0yOeRnvQ5cl (5,2) (5,2) (5,2)
V-DGOy4T4izXzP55zslBQ6nJlddKt8n8L8d8KCC89mfnvnDLTL11DRpxF8XGVUGeTOOpboWIlmuT5GZczDZoeP2UHQOnOS5Sqcj (5,1) (5,2) (5,-2)
U3LyWTOibPzzPXPj6Hkk7YIB7B77BSlKCLuDKfTnnf11fnL1T1T9--pKKnwKXqlELvrm7uqGWMtc4S7GJC3Law6elMtUZGqug (5,2) (5,2) (5,-2)
