IxCq8qz5OjbIjkkY5YsZAttSJltuKRt8Zdem8lm8V+T8gqUvSwqSZUJf4H4uzE3KdSvmAvybl (5,1)
HpCiSOim8aHrzb65jYAsktBddJZRlu7JJd8d8l8VD2MjsJl2ve1KzaAnObsOZcQcMMXavwc (4,1)
M3uyWSGOqjb6HYQIsAJtBZdZ08dmRtdSRtuue0CK0SS82U-2AJpaguOprvQHlmlo4KlglErqXfgS7Gvig (3,1) (5,1)
M3KyWWSq5WuPzX8b6jIQAQcJBRJRB7d0luCKm00SKKS89A-CkGxdA80fXSbEwSdo4maIiSWcWiZbisGgf (4,1) (4,1)
LVKyOSyb5HrjQPIYYQCYQSsludtuZ7ZdK0BeKCuuSS8-p3L-GisUevrmlEbE3cZoybPHfIgvzmYEQgk (3,1) (4,1)
M3KyWSabszYSXH6cBZItJZZSkedBZRZdSteCCu00KSSC-99H7gkTPcufXSyG3IOI4ewvdeAylUOPagQTg (4,1) (4,-1)
OhDGOyaT4ibfTXrQjssAkQ6ABd7ctJBZ7tCS0CeLKe9888+1Go+dz8Hkw6tGdSyTgIwe6GBmaTKm4siSlmcId (4,1) (5,-1)
M3SyWWS4iXmrXC5zIcQQsAJd7QtJttBRZ0emeCuKSSS8Al+Vo0YGu+4frUrEbEWCjH4cJzJyufvTMolyk (2,1) (5,1)
N-Ky4Syb5HrjQbIAQcQIIQAdt77uSRJ8em0SCSC008K88-DRstcF1KRqveZItG3TyLMz2mlD3UrIHHwAeoe (4,1) (5,1)
OhDGOyaT4azjc1PzIscdTABBRldmJlKl0Ru8CKCK00ef98-vABfNdvDbs6tGdSyntzgalrWaJTfzBy6HAMeCe (5,1) (5,1)
M3CWSOW08iHzr5j6PYIIIdmmtRBtCRJRt8J0KSSSCC083-7Qy4aC4ODfrnzgdO2evv1aGbXCrMjKMbdyf (3,1) (5,-1)
M3SyWWS4ijrHXzcAsldJIZ7A7RtCKd0K0me8l00CCSSC--w1zBGKe14frUrEbwZEbnrONSXTaqiMyOdSj (4,1) (5,-2)
QxLyqTWybPr5r6PkJ6AsYYItdtTlt7t1l07luKuv98en9mn9TXXpD++rqzuvveZIig4oRz1jYA6S2aZabwwHxcqoa (5,1) (5,-1)
LVSyWOS4ijrHXzcQmd7QSIYRtJdmK77RKK0tSmmKCC8-XxD+bQirnErKBKxG1StiruMAHbWLOLOmGvf (3,1) (4,-1)
N-C4KOab5arPHbAIYQcRY66ABt7K7787d88muCKSC0008w985Uv0eLXvveLHkUXoOmrMbIkCRcPixeaI7Ud (5,1) (5,2)
KNKyGSazbXrbIXXI8AQRZYc8d7dK0tJl0JCuueCCK8V2-ZkuHjNsveZI7GZTiA1EJvPGHr3T4otjh (2,1) (4,1)
PpLyiTazHbPr5HP5s6sZYQZIdt7ZRlnCeeCumT0m9S8enf9+Rh17fxbuY2ufXS4Efn3cibZr5ilPZIXmdQbQqSg (4,1) (5,2)
N-Ky4Saz5X5mcIPQQcJAIAA78cdBZR7dum8eC8KSC0008w7Zg94prwdtveZI7HZoqE3AKsNzfocqaSiagma (5,1) (5,-2)
PpLyiTyb5rjQXIcdt7Qtl9cZc87lfmKZB0JmnmDS0S8e9e96Ep+UZPQiJkufXS4e4oyAMT6u6Mxv0e2GyKjM4wj (5,2) (5,-2)
RFLyyTyz5XrjIcsldBIBQIR7lCdmtBDfSBDm0KC9u90mvfnv9-n00-YNAizmgvrmlQco7a3S7w4E1vrvrmkmbbaIPTc (3,1) (3,1) (3,-1)
PpLy4iT4iXjLPPIsk6QYYstBYklnZZB0Jem08mTKeTe98m9-QDHq-1Lb3e0fXSaw7GWGaedclS4bZoiygI0MkPb (3,1) (3,1) (4,1)
PpDGOyiT4aHzbQjnflBIQZJZkBJJddBd0ZdmKC0SKe9enn9Zz6X-RfbCdjPpboWI1CuO1fbaBeeAzr5ajb3c7Se (2,1) (4,1) (5,2)
PpLyiTazbXPrPXjLXjDkQIc7cdtRJdmm8Z7tCuKKm18mff9vD-KrSXg83QufXS4obU7kycWMlkxDOPOSOTgnZcj (3,1) (3,-1) (4,1)
QxDGOyqT4iPXPjsfQsLcZAZcdJtR7RRSemKC8C0uT8efvnn9FD+OzpyhtKbL+e4alw7G2udjsMImAg7eWm1OdgPzf (2,1) (3,1) (3,1)
OhvyaTGOajHP5b9bDsIIId1RldBtC7BevmmSCKm0SS8088UVxxhUdRamd6tuLA4adO1IdmWCjmJjyvWobIYwj (2,1) (5,2) (5,-2)
TVvyOTGO4i5zXXPzcYIsRfRd07lKte8R0tu00KCe9SSfvTDTLL9l+83l5NeHooGI+evPgUaSiU5wuofy7SgaGz2Swnlscye (3,1) (3,-1) (5,1)
QxDGOyqT4iPXPHH5HkdR6ARZJZluCdeS87Juu0Suvv9ufnnD-5E6k7AGKobL+e4alw7ewv6mJGwqjaWv6KtnqwfHi (3,1) (4,1) (4,-1)
QxDyq14W4qHXPbQcZAZ67Qs9YtvRtKS0lKKCSumvf980evn9-Ups5FXgIyGANe4o7oZTegQIkwIggn7G2oer4SiUf (3,1) (3,1) (5,-1)
QxLyWqT4qzXHbk6r6566AQIdtZtTJl8ZdunCmCKKu18ufnnD3SD30lONrLXuxeZgiD3oisiT7m4Obj7aYIuvtojIf (2,1) (5,1) (5,2)
RFDGOyyT4izXPHA9jATkQIADDtZdu7ZRJRleKSSK80Senvvv9QxNoVKoSFWik6tGdS4cdSZoAPOmaGdcvTLgxisTlId (3,1) (4,1) (5,1)
QxDGOyqT4irvTXbQ5XrcAsQctl77BZleKC8Z8CKuTSufnnn96F6QverZ4LIL+e4alwRbGoiwIzdvZkbMsM7oiIiQb (3,1) (4,1) (4,1)
QxLyqTyb5rjsTHPrcY6sfBcZYAt7IBZlueuSuDSK80ufnnn96NNjgp9A8okrveZIxG7aMzYadowLcnfEtQis0m7kh (3,1) (4,-1) (4,-1)
RFDGOyyT4iPXPjcAfJAQZBtldBDnKS8ZBe1meCDe1ennn9uvDV-BwZAdwLqgu6tGdSyTdAsnxoaagTaClfarMecmqTl (3,1) (4,1) (5,-1)
RFLyyTazbXr5zLXbAfs6YclZsdJtlJ7ZBDmmSuKC90envfvv9vpRNW7XPd1PmvrmlUxG7adwWzZPdAPiJylU3ebcaoa (3,1) (4,-1) (5,-1)
SNLyGTabszITXH6cJ1YsRJTkltuuKLBK8R8emffnTC0SmfvDDD9-lh9Md1kTPcufXSyG3cGIyMBbZS7eGHiS7OQzlolae (3,1) (5,1) (5,1)
RFLyyTyzbXrcQHQXPcJBlZZ66dKJtmC1dumS8SCfD9uDfvnv9FU-m45Ai5AOdvrmloqG7IWMlIdcAStOZAPwBTtvkUl (3,1) (4,-1) (5,1)
QxLyqTabsz6PX55cRQktTZZYcdB7luStvfuuuD0S0S88ennDN-o76PkT4LkqveZIbERHyGOQ2GiPHf6qNzugJnaHg (3,1) (4,-1) (5,2)
SNDGOyGTqbHnzzHH1bYQktRAdJZ7lmmS77dCCK8K18KnnnvDDD95QvpDXkbY8COpboWI7GlokUfI1Qum7ozaccvmwm5Ie (3,1) (5,1) (5,-1)
RFDyLOybPXzncYPzQH6cBYYQAT7dK8ZRZl8Cumf980evDnvD9VNRBOSngzB1evrugEbc7OWAhourgo7oxgdIBO4qxyf (3,1) (5,-1) (5,2)
RFDGOyyT4aHzbQzftBBIJBBTYQZlluCJBCC0mue980CDfnvvD-lJ7f1-re0qs6tGdSynhf6Cruiwfa1ScbdujL0KqTj (3,1) (5,-1) (5,-2)
QxDq9GOqPjXHzQ5AkBkZRZBJdtllumCK8Z7tLK8mfn9evvv9-d+AZFghmKjrxe1A4T7atg6L5iirdsXO7UakhTZMi (3,1) (4,1) (5,-2)
SNDWG94irbzHzjIf6Hs6IvJ7cmu7tKSZZtCenDSS08uvLDDDL99+6wthjyMw045bXgZo7jWcAohmtwvwzK5sjIHOBD3Ud (3,1) (5,-1) (5,-1)
RFvyyTGO4iPrXP5XrADDYQYQAllRJB9Bve8KKuCK0Senvnnv9v-hXHZ8QyInk6tuLA4c2c2K0aZmGPdgATeLkygaWaj (4,1) (4,1) (4,1)
RFvyyTGO4i55HAcssdBI7kBZQ7AlKJR7JCvmC00e9CnvnvDD9-H3sxCpNDqau6tuLAyTMoyvibiEdIOSHs7OlqjodSa (4,1) (4,1) (4,-1)
RFDGOyyT4iPz1PHH5znIAA9sdB9RZBJdumCKe0ueff908mvvD3ZS+QHHnz6jk6tGdS4cgyfU0GWCarjf5baMimGUvbl (3,1) (5,1) (5,2)
SNDG9OOWibrjrXPjsQI1ctdBZIDlJLJ1lKeuSSu0Smf9uDnDD91LptYYFrfJr25frTtMdU1U4asaZaRDGgOAqjwUicGna (4,1) (4,1) (5,-1)
RFLyWyTq5qXHzbkscYkBttlBdldutCuKuSe8SSKmfvvDDnDD9-Ny3m+4rmOgnDrmBGNf7yaolnialK2OlIWI1OrHbMl (4,1) (4,1) (5,-2)
SNDGOyGTqjb6bkYXzs6jAQIn7sJJJTB7RdCuKCe9uD9mLnLDD9FTel2l1H55guOpboWIlm7IwLsr1ojUKzBgOgKm7oqih (4,1) (4,1) (5,1)
V-Dy414W4qPXPbIkJsBJJsBZQZl7ZJJmCmuC8910un9fDTTT9L11DF217Mj682WegO2jbUZUZGlIZmdS4GlmBz2oAqewOfkgkTl (4,1) (4,-1) (5,1)
TVLyOTyb5rrIPPIYk7QBYRctllBSJSR0Rf0KSfT9mT0SvDnLLL9wVR9ZAzJfMLksveZIrG3IWG5gJc1M3b0KOfyGiu7UgId (4,1) (5,1) (5,1)
TVLyOTazbXrP9HXzQLIscR6YYIBRJ7Bem0K8eDmTS1uTffDLDL969wBTaRNYrPltveZI7f4TWKgc3gZmuieOkbisOKRglAe (4,1) (5,1) (5,-1)
QxvyqTGO4aHrD5Pzs1skJQABJdZRJlKJm8teSu0KSu9ufnnD-0+ghERIK0IK+evPgwZmLPanhr0UZqNTksiidr7cg (4,1) (4,-1) (5,2)
RFLyyTabsrQXrltlIlQIQQZl7ctCZJ7B9B9SKuK0C1eDnvvv9A-JNxDZRbZOavrmlg4oimyjdTPo4GikNT1UIPsI4Ud (3,1) (5,1) (5,-2)
PpvyiTGO4azjYPHQ6PkY6kBZktl1BRlv8ln80Cmf90S80e9VxvJZvI+ufiPprvQH1mLAdqOHqT1ktvdgiqyvBPf (3,1) (5,-2) (5,-2)
SNLyGTabcAsQXjcltBsQRZZ6cmuuuKJn0deLKT8008ufLDvDL9V-0HEJxhvMLcufXSyG5oiIiMZola7S7o7Gdmiodm0al (4,1) (5,-1) (5,-2)
RFLyWyTq5qjHzncATsRIY6kB1R7JtCTdSKuuKme18S8m9evvDF3RXXo17bqmnDrmBGNf7ihm7G7o7clIKk3TlD1faHg (4,1) (5,2) (5,-2)
RFLyyTWyzfHr5zznYsQAsZIRdlluClmStCS0ueL88CnvDfvv9RVlVMzklrQuxvrmlIyG3s2iKneP0Tds3Aja1Eacqoa (4,1) (4,1) (5,2)
TVDO94qzjPn5PLP5jtBI767Aue808eTtnemDCmvSK0SmTTDLDL96--AtwSybKALNfe7SZUbQ1StokQyadcBHvzAaOCdo4Ig (4,1) (5,-1) (5,-1)
U3LyWWTq5qjH5rkcktJY1cBZD7QB7tZJCKKm801Smvnf1nDLTLT9QV5AJmR3NrGmnDrmBGNf7CLqWm7sKSYIlo4iRSdC5baqf (5,1) (5,1) (5,-1)
TVLyWOTq5OvPzP9bk6YAAtZQtZYRBRlSf0tCCuSf98m9uDDDLLDx76XRrFbxmOXtxeZg4zXo4maGJGtURT3oeLzUvTkG4ae (5,1) (5,1) (5,2)
SNDGTOGLnrbzrzH5jcIQYA6IYYAt7JLJnS8Kumff1u90u9uDDD-9QqUr8y1q6wDfrn5CXqvHaSayJnGmwmdn2ktwtowHg (4,1) (5,1) (5,-2)
SNDGOyGT4iPrXP5XrA6QsBRIlJLnCdSluCuKnCK9e9mv9uvDDDV2d-1y5jKf2OOpboWIlylyYE0mtvZodMWKdodUloHIi (4,1) (5,1) (5,2)
TVLyOTWybPr5zHkkJJYQ7cleuCCRR9R087SnSvvvTT0mfLDDLL9F+ES11JAmeAuvveZIig4o2SZAXy2riIrmiL2UZIlQfmk (5,1) (5,-1) (5,2)
SNLyWGLTGnrjrPPXXrsAIQYc7kBBJtJ7dumumC0K9Kf1mvDDD9QpLEI7MeNH1g+fXSbEcctHgcZkQwIvguzwLcXQkbama (5,1) (5,2) (5,-2)
V-LyW4T4qzjH5bks666AQsR7DRJ7vC8D87f08SKeTuvDDDnLvT11DD3DQFNkf0lHYm1fXSbs3TdI1S7mRkZfviZGyugnYUdccaj (5,1) (5,1) (5,1)
SNLyWGTq5GvPzH9XrcsskQIYk7AlJRBdm8tuuK8e1KnvvDDLD9B9OYPJkvELA80fXSbEwmdQiQrcRcgK4IdiBOdUkGiCd (4,1) (5,-1) (5,2)
TVLyOTyb5HrjQTHAYkRTAIIJdJRZ7BdCm8JCSCSnT8eTvDnLLL9wFQ2d32BmIMlrveZIxG3TWSzbvI3AemimPSdUOH4UiId (5,1) (5,1) (5,-2)
QxLOW4qnbPzr6bQ5bYs6s9kBJCe0mm8evSmvSuCun10evnv9-FpZTGaREsSXde7StUWTwvlmfG3TXTwn7MdqdKYrd (3,1) (4,1) (5,2)
RFDWy94irzHjAkQYI6Avk7Q76BDLBKCK87leu8uCffn9ufnv9BD7xmRu9bhmCEqSXSZEYmOmtaBGjIiIJgwztTiilTe (4,1) (5,-2) (5,-2)
U3LyWTWyXPXncAHIYckcRYA6c7klZDRde0S8KCuDnTfnfLL1L1T9-1SMiO03BhAzuvrmlIao7S7UiIYD0sig5K4eHn4G1s0jg (5,2) (5,2) (5,2)
RFDGOyyT4iPXPrA9z1IQs7ZdZtCeuRC1m1mCKCu8evnnfDfv9V-ltNCqMDWik6tGdS4cgy7ohTZI4aBIdIWKYoZQbIj (4,1) (5,2) (5,2)
SNDGOyGT4GfHvz5XjckcsIAIY6sJBRJRZlKCmSenL1K9uDDDv91xCrUMy42wKCPpboWI1m2mLz5agy2SegeT7MlIdI7og (5,1) (5,-2) (5,-2)
U3LyWTaz5XrbIXvQQ6Yc76YIslZnBR7Z7luSe90n1CLDvfD1vTTD-RzIwgFC3nYmmvrmlUho7a6D7n0DhfioJThmlQ5Gyrhbi (5,2) (5,2) (5,-2)
SNLyGTyb5zkITHDlJIJTZJBledte8BRC0J8K0K0effTmLvDvD9AVVNw3lEqSHsufXS4f4oWKKHdQ7DRz2uhbKjfIZqlql (5,1) (5,2) (5,2)
QxLyWqTq5qvjzr9bsIIc7IdZlt7kuKZtfKmvu0enf18e18u9-FhyXBSitqZtxeZg4zXoXGWn7aWmlI1M0e6Dyk5rl (3,1) (4,-1) (5,-2)
PpvyiTGO4aHzbQHklsBARcmftmleuJJB8RSKmmvK8m9efn9N-M9TuQHqdjPprvQH1CuOsPyiXLyAOzMEIIAf6ud (3,1) (5,2) (5,-2)
