name,knot_sig,dt_code,structure
18ns_41,sabcdefdghijklmbnilopmhfegcnqropaqjkrxLzwXmp--p--,cHqJfnokBmPiRgedaL,"Trefoil[-5/13]"
18ns_42,sabcdecfgbhijklmnjopknfdegmlqrihaqporRkZSYm9Gz2yM,cLqGNDORkPmBiFEJaH,"Trefoil[-13/8]"
18ns_43,sabcdbefghijkglmhknopdcnopjiqrfeaqmlrRmZQYmnMzmyM,cJqEMRiPkBgNODLHaF,"Trefoil[A(-1/2,-4/3)]"
18ns_44,sabcdecbfghijfklgmnhopaqrolkedprinmjqRYSZSiNzgzgI,hEoJRmPaKDINqGcLFB,"Trefoil[A(-1/2,2/5)]"
18ns_45,sabcdecfghijfklgjmnihoapqrolkbedpqmnrRzMMPkNmZlD4,hFrNJAPbDEIoQkCmGL,"Trefoil[A(-1/2,-3/5)]"
18ns_46,sabcdecbfgedhijklmnjopkngfmlqrihaqporRQmZYmNhM5zM,cMqFHDOERlPnBjGKaI,"Trefoil[A(-1/2,-2/5)]"
18ns_47,sabcdbefghijagklfemnopqmcdjinqrklrpohRmlZYkFMH5zG,mJPfLiNRdKBEqOGCaH,"Trefoil[A(-1/2,-5/3)]"
18ns_48,sabcdbefghijklhmniloakjpqgfrpnmqrdceoRzMLzknZmpZS,inFlBpDJrKGHcQaMeO,"Trefoil[A(-1/2,3/5)]"
18ns_49,sabcdecbfghijfklgjmnihopaqrolkedprnmqRYSmZkNzMNz4,gEnIRPaJDHMqOcKFlB,"Trefoil[A(1/2,2/5)]"
18ns_50,sabcdbefcdghijkgalhkmnoefopqjirpnmqrlRkZSYmFMzgyM,kPiENHqJcFaMODLRgB,"Trefoil[A(1/2,5/3)]"
18ns_51,sabcdbefghieajfiklmnodcmnopqhgrplkqrjRmZQYmnMzmyM,mPkFGNDJqLcHaOERiB,"Trefoil[A(1/2,4/3)]"
18ns_52,sabcdecfgbedhijklhamilnofgpqkjrponqrmRQmZYmzyMzyM,jPhMGqIcEaNOKDLRfB,"Trefoil[A(1/2,3/5)]"
18ns_53,sabcdecfghibjklmnghopjedkqorapqnmlfirxmvwMnB-----,eQlHrJpfmDocbiAgkN,"Trefoil[A(-1/3,2/3)]"
18ns_54,sabcdefbghidjkcglmnohipqaloprfkjerqnmxArtDr-F+-F+,gpEmiroJlcNQdhafKb,"Trefoil[A(-1/3,-2/3)]"
18ns_55,sabcdecfghibjklmnghompedqnoralkjpqfirxSAwMmBF8-p+,eKoHrJpfmDBAQiLgcN,"Trefoil[A(2/3,1/3)]"
18ns_56,sabcdefbghijklefmnokpqlmaihgrpqdcrjonNAttQr-Xp-4p,gKEQhloJdNBApIrfCm,"Trefoil[A(1/3,-2/3)]"
18ns_57,sabcdefghijklhamilnoefgbcdpqkjrponqrmRYmRYm-zM-zM,lPjNOMIqKcGaEFDRhB,"Trefoil[B(3,3)]"
18ns_58,sabcdbefghiejkfilmcdnoajkpqlmrpghqrnolZSKzwFaGpaW,hNfPbLdrJQmEoAkCIg,"Trefoil[B(3,-3/2)]"
18ns_59,sabcdbefghijkglmhkcdnoanjipqferpmlqroRmZ0mtbMzEM5,hMeKgOcrJQDnBpFlIa,"Trefoil[B(3,-3)]"
18ns_60,sabcdecfghijklamjnokmpfghdeqnorbpiqrlxLzwXm-4-h--,lQhAopnbKdGrIfmejC,"Trefoil[B(3,3/2)]"
18ns_61,sabcdefdghijklmicbjmnopghpefqrlkaqonrRYmRYmbyMbyM,cMqKFPNjRlDhBOGEaI,"Trefoil[B(-3/2,-3/2)]"
18ns_62,sabcdefghijklbcmknolmpghpdefqrnoaqijrRAMPYm-8-d--,cGqIOPNBlDhRjFMEaK,"Trefoil[B(-3/2,-3)]"
18ns_63,sabcdefghijklmnbilopmfghcdenqrkjaqporxnZuXm9Nz+BM,cLqJomnRkPgBifdeaH,"Trefoil[B(-3,-3)]"
18ns_64,sabcdbefghiejkfilmcdnoajkpqlmrpghqrnoRmZuMz------,hnFpBlDrJQMeOaKcIg,"Trefoil[B(-3,3/2)]"
18ns_65,sabcdbefghijkgalhkmnoefocdpqjirpnmqrlRYmRYmbyMbyM,lPjEOMIqKcGaNFDRhB,"Trefoil[B(3/2,3/2)]"
18ns_66,sabcdbefcdghijkglmhknoaeflmpqnorpijqrlZmtMz-ha4aa,hkPgRcNeJLaIoFqBmD,"Trefoil[C(-1/2,-1/3,1)]"
18ns_67,sabcdefbghidcgjklmhinoajmnefopqrklpqrNA0utv--Z-pa,hpJrgodeKmCNQiafLb,"Trefoil[C(-1/2,-1/3,-1)]"
18ns_68,sabcdbefcdghijkglmhknoaeflmpqnorpijqrRYmJMzFgaiaa,hKPgRcNeJLAIoFqBmD,"Trefoil[C(-1/2,2/3,1)]"
18ns_69,sabcdecfgdehijklhmnilopgfbmnqropaqjkrxwMPYmdZ----,cIqOgdNelBhPjRFKaM,"Trefoil[C(-1/2,2/3,-1)]"
18ns_70,sabcdefbcdghijklamjnokmgefpqnorphiqrlBAMjZmp3-p+-,kQgAmHbJpFrNOeLDiC,"Trefoil[C(-1/2,1/3,1)]"
18ns_71,sabcdecfgdehijkblmhinoplfgmnqrapoqjkrxLYyvo-8-F+-,dNJrKhepfMCoIqAglb,"Trefoil[C(-1/2,1/3,-1)]"
18ns_72,sabcdbefcdghijkglmhknopeflmqorapqijnrllZAzg---9-V,dQjrFHoEKbMpICAglN,"Trefoil[C(-1/2,-2/3,1)]"
18ns_73,sabcdecfgdehijklhmnilopgfbmnqropaqjkrRAMPYm------,cIqOGDNElBhPjRFKaM,"Trefoil[C(-1/2,-2/3,-1)]"
18ns_74,sabcdefgehifgjklamjnokmpqihdnorbpqcrlRQMzYmha--4-,kQgAiObJdLrHFPMENC,"Trefoil[C(1/2,2/3,1)]"
18ns_75,sabcdbefghiejkfilmnoajkpqlmrpghqrncdolZSzMjFaada4,iOfQbMdJrKHnEpAlCG,"Trefoil[C(1/2,2/3,-1)]"
18ns_76,sabcdefbcdghijklamjnokmgefpqnorphiqrlRAMPYm-3-V--,kQgAMHbJpFrNOELDiC,"Trefoil[C(1/2,1/3,1)]"
18ns_77,sabcdbefcdghijklamjnokmefgpqnorphiqrlltMzZm------,kQgAnHbJpFrMOdLeiC,"Trefoil[C(1/2,1/3,-1)]"
18ns_78,sabcdefgaheijfklmnoklmhpcqijrbpdqrgonNzuDmt7-Xy--,oQjfgndApbMhIreKlC,"Trefoil[D(2,3,1)]"
18ns_79,sabcdbefcdghijkglmhknopeflmqorapqijnrRkZQzgF+-n-V,dQjrFHOEKbMpICAGlN,"Trefoil[D(2,3/2,1)]"
18ns_80,sabcdefbghijhklijmndcgopmnqraoklpqefrNQQX0m-dZ---,eKpGrHnDOLIBJQfaMc,"Trefoil[D(-2,-3/2,-1)]"
18ns_81,sabcdefbghijkdcglmhinoalmnpqrkjpqrefoNQXuRk-p--p-,hpEFMCJrKnGOQDiaLb,"Trefoil[D(-2,-3,-1)]"
18ns_82,sabcdefghdifgjklamjnokmpqiehnorbpqcrlRQMzYmFg--+-,kQgAiMbJdLrHOPFENC,"Trefoil[G(2,1,-1,1,1)]"
18ns_83,sabcdefgcdhfijklmbnilopmehgnqropaqjkrxvMzXmZW--8-,cIqKghdolBnPjRefaM,"Trefoil[G(-1/2,-1,1,-1,-1)]"
18ns_84,sabcdefbcgehijklhmnilopfgdmnqropaqjkrRAMPYmpZ-p--,cIqFONDElBhPjRGKaM,"Trefoil[G(-2,-1,1,-1,-1)]"
18ns_85,sabcdefgchefijklamjnokmpgdhqnorbpiqrlxvMzXm75--9-,kQgAnobJdFrHeplmiC,"Trefoil[G(1/2,1,-1,1,1)]"
18ns_86,sabcdefghdaijkgfljmncbopiqehrmponrklqlZmlZmNzMNzM,nDqMjOKaPlGeBhFRcI,"Fig8[-1/2]"
